,Weight Class,Victory Type (L),Victory Type (S),Winner Score,Loser Score,Winner First Name,Winner Last Name,Winner School (L),Winner School (S),Loser First Name,Loser Last Name,Loser School (L),Loser School (S),Unknown (Seed?),Round,Event Name,Event ID,Event Order (1=newest),Winner Full Name,Loser Full Name
4756,113,Fall,Fall,0,0,Luke,Sheehan,St Joseph Collegiate Institute,SJCI,Robert,Serviss,Kellenberg Memorial H S,KMHS,3,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Luke Sheehan,Robert Serviss
4757,113,Fall,Fall,0,0,Luke,Sheehan,St Joseph Collegiate Institute,SJCI,Michael,Vealey,St Mary`s,STMA,3,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Luke Sheehan,Michael Vealey
4758,113,Major Decision,MD,0,8,Luke,Sheehan,St Joseph Collegiate Institute,SJCI,Wyatt,Shabiak,Fordham Preparatory School,FPS,3,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Luke Sheehan,Wyatt Shabiak
4759,120,Fall,Fall,0,0,Izac,Garcia,St John The Baptist Hs,SJTB,Michael,Cannavo,St Joseph Collegiate Institute,SJCI,4,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Izac Garcia,Michael Cannavo
4760,120,Fall,Fall,0,0,Michael,Cannavo,St Joseph Collegiate Institute,SJCI,Abraham,Kassem,St Francis,STFR,4,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Michael Cannavo,Abraham Kassem
4761,120,Fall,Fall,0,0,Sean,Flick,St Anthonys,STAN,Benjamin,Grande,St Joseph Collegiate Institute,SJCI,4,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Sean Flick,Benjamin Grande
4762,120,Decision,Dec,6,3,Matthew,Steckman,Monsignor Farrell,MOFA,Benjamin,Grande,St Joseph Collegiate Institute,SJCI,4,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Matthew Steckman,Benjamin Grande
4763,126,Decision,Dec,2,6,Michael,Jarosz,St Joseph Collegiate Institute,SJCI,Danny,Knoblach,Kellenberg Memorial H S,KMHS,5,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Michael Jarosz,Danny Knoblach
4764,126,Decision,Dec,1,0,Michael,Jarosz,St Joseph Collegiate Institute,SJCI,Gavin,Li,Canisius,CANI,5,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Michael Jarosz,Gavin Li
4765,126,Fall,Fall,0,0,Michael,Jarosz,St Joseph Collegiate Institute,SJCI,David,Lopez,Archbishop Stepinac,ARST,5,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Michael Jarosz,David Lopez
4766,126,Fall,Fall,0,0,Michael,Jarosz,St Joseph Collegiate Institute,SJCI,Liam,Edwards,St Francis,STFR,5,Cons. Round 3,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Michael Jarosz,Liam Edwards
4767,132,Fall,Fall,0,0,Anthony,Cascio,St Anthonys,STAN,Dalas,Jackson,St Joseph Collegiate Institute,SJCI,6,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Anthony Cascio,Dalas Jackson
4768,132,Decision,Dec,9,5,John,Basile,Monsignor Farrell,MOFA,Dalas,Jackson,St Joseph Collegiate Institute,SJCI,6,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,John Basile,Dalas Jackson
4769,132,Major Decision,MD,9,0,Dominic,Seminera,St Anthonys,STAN,Dalas,Jackson,St Joseph Collegiate Institute,SJCI,6,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Dominic Seminera,Dalas Jackson
4770,132,Decision,Dec,0,1,Thomas,Straehle,Iona Prep,IOPR,Dalas,Jackson,St Joseph Collegiate Institute,SJCI,6,5th Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Thomas Straehle,Dalas Jackson
4771,132,Decision,Dec,11,5,John,Basile,Monsignor Farrell,MOFA,Jackson,Alagna,St Joseph Collegiate Institute,SJCI,6,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,John Basile,Jackson Alagna
4772,132,Fall,Fall,0,0,Jackson,Alagna,St Joseph Collegiate Institute,SJCI,Zach,Gallagher,Chaminade,CHAM,6,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Jackson Alagna,Zach Gallagher
4773,132,Fall,Fall,0,0,Jackson,Alagna,St Joseph Collegiate Institute,SJCI,John,Trotta,Kellenberg Memorial H S,KMHS,6,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Jackson Alagna,John Trotta
4774,132,Decision,Dec,3,9,Jackson,Alagna,St Joseph Collegiate Institute,SJCI,Dalas,Jackson,St Joseph Collegiate Institute,SJCI,6,Cons. Round 3,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Jackson Alagna,Dalas Jackson
4775,138,Major Decision,MD,17,7,Stephen,Crisci,St John The Baptist Hs,SJTB,Mark,Westner,St Joseph Collegiate Institute,SJCI,7,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Stephen Crisci,Mark Westner
4776,138,Decision,Dec,1,3,Christopher,Panteleakis,Monsignor Farrell,MOFA,Mark,Westner,St Joseph Collegiate Institute,SJCI,7,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Christopher Panteleakis,Mark Westner
4777,138,Decision,Dec,0,5,Mark,Westner,St Joseph Collegiate Institute,SJCI,Alex,Ellison,St Mary`s,STMA,7,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Mark Westner,Alex Ellison
4778,152,Fall,Fall,0,0,Thomas,Blum,St Joseph Collegiate Institute,SJCI,James,Murpht,St Joseph By The Sea HS,SJBT,9,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Thomas Blum,James Murpht
4779,152,Fall,Fall,0,0,Aj,Kovacs,Iona Prep,IOPR,Thomas,Blum,St Joseph Collegiate Institute,SJCI,9,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Aj Kovacs,Thomas Blum
4780,152,Fall,Fall,0,0,Michael,Lamorte,Monsignor Farrell,MOFA,Thomas,Blum,St Joseph Collegiate Institute,SJCI,9,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Michael Lamorte,Thomas Blum
4781,152,Decision,Dec,8,2,Thomas,Blum,St Joseph Collegiate Institute,SJCI,Jake,Mcnamara,Archbishop Stepinac,ARST,9,Cons. Round 3,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Thomas Blum,Jake Mcnamara
4782,152,Fall,Fall,0,0,Vincent,Pirraglia,St Anthonys,STAN,Thomas,Blum,St Joseph Collegiate Institute,SJCI,9,Cons. Semis,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Vincent Pirraglia,Thomas Blum
4783,152,Fall,Fall,0,0,Freddy,Gomez,St John The Baptist Hs,SJTB,Thomas,Blum,St Joseph Collegiate Institute,SJCI,9,5th Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Freddy Gomez,Thomas Blum
4784,160,Fall,Fall,0,0,Liam,Obrien,Monsignor Farrell,MOFA,Ben,Parish,St Joseph Collegiate Institute,SJCI,10,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Liam Obrien,Ben Parish
4785,160,Decision,Dec,5,2,Ben,Parish,St Joseph Collegiate Institute,SJCI,Doug,Stern,Chaminade,CHAM,10,Semifinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Ben Parish,Doug Stern
4786,160,Decision,Dec,4,2,Ryan,Siller,Monsignor Farrell,MOFA,Ben,Parish,St Joseph Collegiate Institute,SJCI,10,1st Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Ryan Siller,Ben Parish
4787,160,Fall,Fall,0,0,Kenneth,Kroez,Holy Trinity,HT,John,Van Vessem,St Joseph Collegiate Institute,SJCI,10,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Kenneth Kroez,John Van Vessem
4788,160,Fall,Fall,0,0,John,Van Vessem,St Joseph Collegiate Institute,SJCI,Robert,Mc Feeley,Monsignor Farrell,MOFA,10,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,John Van Vessem,Robert Mc Feeley
4789,160,Fall,Fall,0,0,John,Van Vessem,St Joseph Collegiate Institute,SJCI,Elijah,Kramer,Xavier,XAVI,10,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,John Van Vessem,Elijah Kramer
4790,182,Disqualified,DQ,0,0,Dom,Garcia,Monsignor Farrell,MOFA,Ronnie,Jones,St Joseph Collegiate Institute,SJCI,12,Champ. Round 3,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Dom Garcia,Ronnie Jones
4791,182,Major Decision,MD,11,3,James,Watterson,Kellenberg Memorial H S,KMHS,Ronnie,Jones,St Joseph Collegiate Institute,SJCI,12,1st Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,James Watterson,Ronnie Jones
4792,182,Fall,Fall,0,0,James,Watterson,Kellenberg Memorial H S,KMHS,Killian,Vargas,St Joseph Collegiate Institute,SJCI,12,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,James Watterson,Killian Vargas
4793,182,Decision,Dec,11,15,Desmond,Hurley,Iona Prep,IOPR,Killian,Vargas,St Joseph Collegiate Institute,SJCI,12,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Desmond Hurley,Killian Vargas
4794,195,Decision,Dec,9,2,Brayden,Vandenberg,Canisius,CANI,Aidan,Wright,St Joseph Collegiate Institute,SJCI,13,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Brayden Vandenberg,Aidan Wright
4795,220,Major Decision,MD,15,5,Brandon,Cohen,Xavier,XAVI,Joseph,Juncewicz,St Joseph Collegiate Institute,SJCI,14,,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Brandon Cohen,Joseph Juncewicz
4796,220,Fall,Fall,0,0,Matthew,Dahill,St Anthonys,STAN,Joseph,Juncewicz,St Joseph Collegiate Institute,SJCI,14,Cons. Quarters,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Matthew Dahill,Joseph Juncewicz
4797,220,Fall,Fall,0,0,Michael,Mulkerrins,Monsignor Farrell,MOFA,Joseph,Juncewicz,St Joseph Collegiate Institute,SJCI,14,Cons. Semis,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Michael Mulkerrins,Joseph Juncewicz
4798,220,Fall,Fall,0,0,Jeremy,Dejesus,St John The Baptist Hs,SJTB,Joseph,Juncewicz,St Joseph Collegiate Institute,SJCI,14,3rd Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Jeremy Dejesus,Joseph Juncewicz
4799,285,Fall,Fall,0,0,Caleb,Lesswing,St Joseph Collegiate Institute,SJCI,Antonios,Drossos,Xavier,XAVI,15,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Caleb Lesswing,Antonios Drossos
4800,285,Fall,Fall,0,0,Caleb,Lesswing,St Joseph Collegiate Institute,SJCI,Harrison,Hanley,Gow School,GOSC,15,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Caleb Lesswing,Harrison Hanley
4801,285,Fall,Fall,0,0,Caleb,Lesswing,St Joseph Collegiate Institute,SJCI,Bashiri,Clark-Cain,Holy Trinity,HT,15,Semifinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Caleb Lesswing,Bashiri Clark-Cain
4802,285,Fall,Fall,0,0,Caleb,Lesswing,St Joseph Collegiate Institute,SJCI,Matthew,Cordero,St Joseph By The Sea HS,SJBT,15,1st Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,214,Caleb Lesswing,Matthew Cordero
4803,113,Fall,Fall,0,0,Brenden,Barrett,Iona Prep,IOPR,Daniel,Rhodes,St Mary`s,STMA,3,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Brenden Barrett,Daniel Rhodes
4804,113,Fall,Fall,0,0,Daniel,Adams,Monsignor Farrell,MOFA,Michael,Vealey,St Mary`s,STMA,3,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Daniel Adams,Michael Vealey
4805,113,Fall,Fall,0,0,Luke,Sheehan,St Joseph Collegiate Institute,SJCI,Michael,Vealey,St Mary`s,STMA,3,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Luke Sheehan,Michael Vealey
4806,126,Fall,Fall,0,0,Matthew,Toohey,Canisius,CANI,Matthew,Ash,St Mary`s,STMA,5,,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Matthew Toohey,Matthew Ash
4807,126,Fall,Fall,0,0,Jake,Podolsky,St Anthonys,STAN,Matthew,Ash,St Mary`s,STMA,5,Semifinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Jake Podolsky,Matthew Ash
4808,126,Decision,Dec,4,2,Michael,Sanfilippo,Chaminade,CHAM,Matthew,Ash,St Mary`s,STMA,5,1st Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Michael Sanfilippo,Matthew Ash
4809,132,Fall,Fall,0,0,Dominic,Seminera,St Anthonys,STAN,Tyler,Cruz,St Mary`s,STMA,6,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Dominic Seminera,Tyler Cruz
4810,132,Fall,Fall,0,0,Anthony,Cascio,St Anthonys,STAN,Tyler,Cruz,St Mary`s,STMA,6,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Anthony Cascio,Tyler Cruz
4811,132,Decision,Dec,1,7,John,Basile,Monsignor Farrell,MOFA,Zach,Ash,St Mary`s,STMA,6,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,John Basile,Zach Ash
4812,132,Fall,Fall,0,0,Thomas,Straehle,Iona Prep,IOPR,Zach,Ash,St Mary`s,STMA,6,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Thomas Straehle,Zach Ash
4813,132,Decision,Dec,7,2,Rocco,Demartino,Chaminade,CHAM,Zach,Ash,St Mary`s,STMA,6,1st Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Rocco Demartino,Zach Ash
4814,138,Decision,Dec,0,5,Mark,Westner,St Joseph Collegiate Institute,SJCI,Alex,Ellison,St Mary`s,STMA,7,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Mark Westner,Alex Ellison
4815,145,Fall,Fall,0,0,Sean,Astorino,Iona Prep,IOPR,Griffin,Dempsey,St Mary`s,STMA,8,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Sean Astorino,Griffin Dempsey
4816,145,Fall,Fall,0,0,Justin,Phillips,Gow School,GOSC,Griffin,Dempsey,St Mary`s,STMA,8,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Justin Phillips,Griffin Dempsey
4817,145,Fall,Fall,0,0,Nick,Matos,St Anthonys,STAN,Griffin,Dempsey,St Mary`s,STMA,8,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Nick Matos,Griffin Dempsey
4818,145,Fall,Fall,0,0,Ramon,Perez,Monsignor Farrell,MOFA,Andrew,Domros,St Mary`s,STMA,8,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Ramon Perez,Andrew Domros
4819,145,Fall,Fall,0,0,Owen,Smolinski,Gow School,GOSC,Andrew,Domros,St Mary`s,STMA,8,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Owen Smolinski,Andrew Domros
4820,195,Fall,Fall,0,0,Lorenzo,Rogliano,Iona Prep,IOPR,Chris,Kobis,St Mary`s,STMA,13,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Lorenzo Rogliano,Chris Kobis
4821,195,Fall,Fall,0,0,Matt,Kelly,Iona Prep,IOPR,Scott,Ziomek,St Mary`s,STMA,13,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Matt Kelly,Scott Ziomek
4822,220,Fall,Fall,0,0,Jeremy,Dejesus,St John The Baptist Hs,SJTB,Thomas,Moss,St Mary`s,STMA,14,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Jeremy Dejesus,Thomas Moss
4823,220,Fall,Fall,0,0,Matthew,Dahill,St Anthonys,STAN,Thomas,Moss,St Mary`s,STMA,14,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Matthew Dahill,Thomas Moss
4824,285,Fall,Fall,0,0,Frank,Scarfuri,Monsignor Farrell,MOFA,Matt,Drdul,St Mary`s,STMA,15,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,215,Frank Scarfuri,Matt Drdul
4825,145,Major Decision,MD,16,6,Nicholas,Deangelis,St John The Baptist Hs,SJTB,Mysan,Hinds,St Peters,SPET,8,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,216,Nicholas Deangelis,Mysan Hinds
4826,106,Major Decision,MD,0,10,Stefan,Krompier,St John The Baptist Hs,SJTB,Devon,Diaco,Xavier,XAVI,2,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Stefan Krompier,Devon Diaco
4827,106,Major Decision,MD,14,0,Devon,Diaco,Xavier,XAVI,John,Reynolds,Kellenberg Memorial H S,KMHS,2,Semifinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Devon Diaco,John Reynolds
4828,106,Fall,Fall,0,0,Shane,Meenaghan,Chaminade,CHAM,Devon,Diaco,Xavier,XAVI,2,1st Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Shane Meenaghan,Devon Diaco
4829,113,Fall,Fall,0,0,Robert,Horan,Iona Prep,IOPR,Jared,Vazquez,Xavier,XAVI,3,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Robert Horan,Jared Vazquez
4830,113,Fall,Fall,0,0,Brenden,Barrett,Iona Prep,IOPR,Jared,Vazquez,Xavier,XAVI,3,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Brenden Barrett,Jared Vazquez
4831,120,Fall,Fall,0,0,Luke,Brydges,Canisius,CANI,Justin,Cruz,Xavier,XAVI,4,,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Luke Brydges,Justin Cruz
4832,120,Fall,Fall,0,0,Rohan,Mally,Gow School,GOSC,Justin,Cruz,Xavier,XAVI,4,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Rohan Mally,Justin Cruz
4833,120,Technical Fall,TF,17,0,Frankie,Theroux,St Anthonys,STAN,Justin,Cruz,Xavier,XAVI,4,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Frankie Theroux,Justin Cruz
4834,120,Fall,Fall,0,0,Frankie,Theroux,St Anthonys,STAN,Jacob,Laslo,Xavier,XAVI,4,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Frankie Theroux,Jacob Laslo
4835,120,Fall,Fall,0,0,John-Michael,Economos,Monsignor Farrell,MOFA,Jacob,Laslo,Xavier,XAVI,4,Cons. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,John-Michael Economos,Jacob Laslo
4836,138,Decision,Dec,5,10,Christopher,Panteleakis,Monsignor Farrell,MOFA,Thomas,Larosa,Xavier,XAVI,7,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Christopher Panteleakis,Thomas Larosa
4837,138,Fall,Fall,0,0,Stephen,Crisci,St John The Baptist Hs,SJTB,Thomas,Larosa,Xavier,XAVI,7,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Stephen Crisci,Thomas Larosa
4838,160,Fall,Fall,0,0,Elijah,Kramer,Xavier,XAVI,Nicholas,Natalie,Kellenberg Memorial H S,KMHS,10,,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Elijah Kramer,Nicholas Natalie
4839,160,Fall,Fall,0,0,John,Van Vessem,St Joseph Collegiate Institute,SJCI,Elijah,Kramer,Xavier,XAVI,10,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,John Van Vessem,Elijah Kramer
4840,160,Decision,Dec,7,3,Timothy,Longo,St Anthonys,STAN,Elijah,Kramer,Xavier,XAVI,10,5th Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Timothy Longo,Elijah Kramer
4841,170,Major Decision,MD,12,1,Elias,Emery,Xavier,XAVI,Anthony,Sanguyu,Kellenberg Memorial H S,KMHS,11,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Elias Emery,Anthony Sanguyu
4842,170,Fall,Fall,0,0,Elias,Emery,Xavier,XAVI,Ty,Andresen,Monsignor Farrell,MOFA,11,Semifinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Elias Emery,Ty Andresen
4843,170,Decision,Dec,6,4,Elias,Emery,Xavier,XAVI,Joseph,Dixon,Canisius,CANI,11,1st Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Elias Emery,Joseph Dixon
4844,182,Fall,Fall,0,0,Dom,Garcia,Monsignor Farrell,MOFA,Donnasis,George,Xavier,XAVI,12,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Dom Garcia,Donnasis George
4845,182,Fall,Fall,0,0,Patrick,Tronconi,Canisius,CANI,Leonardo,Mancia,Xavier,XAVI,12,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Patrick Tronconi,Leonardo Mancia
4846,220,Decision,Dec,7,1,Brandon,Cohen,Xavier,XAVI,Marlo,Johnson,Canisius,CANI,14,,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Brandon Cohen,Marlo Johnson
4847,220,Major Decision,MD,15,5,Brandon,Cohen,Xavier,XAVI,Joseph,Juncewicz,St Joseph Collegiate Institute,SJCI,14,,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Brandon Cohen,Joseph Juncewicz
4848,220,Fall,Fall,0,0,Jeremy,Dejesus,St John The Baptist Hs,SJTB,Brandon,Cohen,Xavier,XAVI,14,Semifinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Jeremy Dejesus,Brandon Cohen
4849,220,Tie Breaker - 1,TB-1,4,3,Brian,Holder,Holy Trinity,HT,Brandon,Cohen,Xavier,XAVI,14,1st Place Match,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Brian Holder,Brandon Cohen
4850,220,Fall,Fall,9,3,Matthew,Dahill,St Anthonys,STAN,Russell,Goldmeer,Xavier,XAVI,14,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Matthew Dahill,Russell Goldmeer
4851,220,Fall,Fall,0,0,Brian,Holder,Holy Trinity,HT,Russell,Goldmeer,Xavier,XAVI,14,Quarterfinals,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Brian Holder,Russell Goldmeer
4852,220,Fall,Fall,0,0,Michael,Mulkerrins,Monsignor Farrell,MOFA,Steven,Prioto,Xavier,XAVI,14,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Michael Mulkerrins,Steven Prioto
4853,285,Fall,Fall,0,0,Caleb,Lesswing,St Joseph Collegiate Institute,SJCI,Antonios,Drossos,Xavier,XAVI,15,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Caleb Lesswing,Antonios Drossos
4854,285,Fall,Fall,0,0,Thomas,Jaycox,St John The Baptist Hs,SJTB,James,Mccue,Xavier,XAVI,15,Champ. Round 1,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Thomas Jaycox,James Mccue
4855,285,Fall,Fall,0,0,Harrison,Hanley,Gow School,GOSC,James,Mccue,Xavier,XAVI,15,Cons. Round 2,CHSAA -D1 WRESTLING CHAMPIONSHIPS,4998200132,217,Harrison Hanley,James Mccue
4856,126,Technical Fall,TF,0,17,Nathan,Levey,Horseheads Sr HS,HSH,Constantine,Gehring,Binghamton-Seton CC,BSCC,5,Quarterfinals,SECTION 4-D1 WRESTLING CHAMPIONSHIPS,4998182132,218,Nathan Levey,Constantine Gehring
4857,126,Decision,Dec,6,8,Constantine,Gehring,Binghamton-Seton CC,BSCC,Daniel,Parker,Ithaca Sr HS,ISH,5,Semifinals,SECTION 4-D1 WRESTLING CHAMPIONSHIPS,4998182132,218,Constantine Gehring,Daniel Parker
4858,126,Fall,Fall,0,0,Rilee,Dean,Johnson City Sr HS,JCSH,Constantine,Gehring,Binghamton-Seton CC,BSCC,5,Cons. Semis,SECTION 4-D1 WRESTLING CHAMPIONSHIPS,4998182132,218,Rilee Dean,Constantine Gehring
4859,126,Fall,Fall,0,0,Constantine,Gehring,Binghamton-Seton CC,BSCC,Peter,Sacco,Vestal Sr HS,VSH,5,3rd Place Match,SECTION 4-D1 WRESTLING CHAMPIONSHIPS,4998182132,218,Constantine Gehring,Peter Sacco
4860,132,Decision,Dec,9,2,Patrick,Zara,Johnson City Sr HS,JCSH,Johnny,Walker,Binghamton-Seton CC,BSCC,6,Quarterfinals,SECTION 4-D1 WRESTLING CHAMPIONSHIPS,4998182132,218,Patrick Zara,Johnny Walker
4861,132,Fall,Fall,0,0,Johnny,Walker,Binghamton-Seton CC,BSCC,Noah,Kintner,Vestal Sr HS,VSH,6,Cons. Quarters,SECTION 4-D1 WRESTLING CHAMPIONSHIPS,4998182132,218,Johnny Walker,Noah Kintner
4862,132,Decision,Dec,9,6,Johnny,Walker,Binghamton-Seton CC,BSCC,Stanislav,Kolodych,Chenango Forks HS,CFH,6,Cons. 1st,SECTION 4-D1 WRESTLING CHAMPIONSHIPS,4998182132,218,Johnny Walker,Stanislav Kolodych
4863,138,Fall,Fall,0,0,Haroutune,Kerjilian,Binghamton-Seton CC,BSCC,Chase,Daudelin,Corning City Schools,CCS,7,Quarterfinals,SECTION 4-D1 WRESTLING CHAMPIONSHIPS,4998182132,218,Haroutune Kerjilian,Chase Daudelin
